SpoolID,Start Date,Processing Time in Days,Finish Date,Due Date,Processing Time,Required Resources,8,Processing time in days = Processign time/8,,,,,Required resources = random number between 2 and 4 inclusive
631002073,5/6/2020,1.029114583,5/7/2020,6/3/2020,8.232916667,4,,,,,,,
631002074,5/6/2020,2.084614063,5/8/2020,6/4/2020,16.6769125,4,,,,,,,
631002075,5/20/2020,5.282046875,5/25/2020,6/23/2020,42.256375,2,,,,,,,
631002076,5/20/2020,4.1187875,5/24/2020,6/18/2020,32.9503,2,,,,,,,
631002077,3/12/2020,1.093166667,3/13/2020,4/21/2020,8.745333333,3,,,,,,,
631002078,4/14/2020,2.394865625,4/16/2020,6/8/2020,19.158925,3,,,,,,,
631002079,4/30/2020,4.028204688,5/4/2020,5/11/2020,32.2256375,4,,,,,,,
631002080,3/4/2020,1.282046875,3/5/2020,4/8/2020,10.256375,2,,,,,,,
631002081,3/26/2020,2.667887,3/28/2020,4/20/2020,21.343096,3,,,,,,,
631002082,2/28/2020,1.649836,2/29/2020,4/21/2020,13.198688,2,,,,,,,
631002083,4/1/2020,1.9476775,4/2/2020,4/20/2020,15.58142,4,,,,,,,
631002084,4/17/2020,1.866448,4/18/2020,4/20/2020,14.931584,3,,,,,,,
631002085,4/1/2020,4.2256375,4/5/2020,4/16/2020,33.8051,2,,,,,,,
631002086,2/28/2020,3.169228125,3/2/2020,3/26/2020,25.353825,4,,,,,,,
631002087,4/14/2020,3.169228125,4/17/2020,4/29/2020,25.353825,2,,,,,,,
631002088,3/31/2020,1.29332875,4/1/2020,4/3/2020,10.34663,3,,,,,,,
631002090,3/26/2020,1.141023438,3/27/2020,3/28/2020,9.1281875,4,,,,,,,
631002091,2/28/2020,2.462556875,3/1/2020,4/18/2020,19.700455,4,,,,,,,
631002092,2/28/2020,5.462556875,3/4/2020,4/18/2020,43.700455,3,,,,,,,
631002093,2/28/2020,1.575375625,2/29/2020,4/17/2020,12.603005,4,,,,,,,
631002094,3/31/2020,1.1353825,4/1/2020,4/6/2020,9.08306,3,,,,,,,
631002095,3/31/2020,2.631785,4/2/2020,4/6/2020,21.05428,2,,,,,,,
631002096,3/31/2020,1.062421667,4/1/2020,4/7/2020,8.499373333,2,,,,,,,
631002097,3/4/2020,2.048446667,3/6/2020,3/28/2020,16.38757333,4,,,,,,,
631002098,3/31/2020,2.13086975,4/2/2020,4/7/2020,17.046958,3,,,,,,,
631002099,2/21/2020,3.167674063,2/24/2020,4/19/2020,25.3413925,2,,,,,,,
631002100,3/26/2020,2.2585375,3/28/2020,4/20/2020,18.0683,2,,,,,,,
631002101,4/1/2020,3.568180625,4/4/2020,4/19/2020,28.545445,4,,,,,,,
631002102,2/28/2020,4.282046875,3/3/2020,4/18/2020,34.256375,3,,,,,,,
631002103,2/28/2020,3.282046875,3/2/2020,4/17/2020,26.256375,3,,,,,,,
631002104,2/28/2020,5.29332875,3/4/2020,4/17/2020,42.34663,3,,,,,,,
631002105,3/31/2020,2.13086975,4/2/2020,4/7/2020,17.046958,2,,,,,,,
631002106,2/28/2020,2.349738125,3/1/2020,3/16/2020,18.797905,3,,,,,,,
631002107,4/3/2020,2.423070313,4/5/2020,4/18/2020,19.3845625,2,,,,,,,
631002108,3/26/2020,2.028204688,3/28/2020,4/18/2020,16.2256375,3,,,,,,,
631002109,3/26/2020,2.0349375,3/28/2020,3/28/2020,16.2795,3,,,,,,,
631002110,5/6/2020,3.11281875,5/9/2020,6/8/2020,24.90255,4,,,,,,,
